id,suit,rank,points,figure
denari-01,denari,1,11,
denari-02,denari,2,0,
denari-03,denari,3,10,
denari-04,denari,4,0,
denari-05,denari,5,0,
denari-06,denari,6,0,
denari-07,denari,7,0,
denari-08,denari,8,2,fante.svg
denari-09,denari,9,3,cavallo.svg
denari-10,denari,10,4,re.svg
coppe-01,coppe,1,11,
coppe-02,coppe,2,0,
coppe-03,coppe,3,10,
coppe-04,coppe,4,0,
coppe-05,coppe,5,0,
coppe-06,coppe,6,0,
coppe-07,coppe,7,0,
coppe-08,coppe,8,2,fante.svg
coppe-09,coppe,9,3,cavallo.svg
coppe-10,coppe,10,4,re.svg
spade-01,spade,1,11,
spade-02,spade,2,0,
spade-03,spade,3,10,
spade-04,spade,4,0,
spade-05,spade,5,0,
spade-06,spade,6,0,
spade-07,spade,7,0,
spade-08,spade,8,2,fante.svg
spade-09,spade,9,3,cavallo.svg
spade-10,spade,10,4,re.svg
bastoni-01,bastoni,1,11,
bastoni-02,bastoni,2,0,
bastoni-03,bastoni,3,10,
bastoni-04,bastoni,4,0,
bastoni-05,bastoni,5,0,
bastoni-06,bastoni,6,0,
bastoni-07,bastoni,7,0,
bastoni-08,bastoni,8,2,fante.svg
bastoni-09,bastoni,9,3,cavallo.svg
bastoni-10,bastoni,10,4,re.svg
